city,name,po1,po2,po3,po4,po5,po6,po7,po8,po9,po10,dd1,dd2,dd3,dd4,dd5,dd6,dd7,dd8,dd9,dd10,hd1,hd2,hd3,hd4,hd5,hd6,hd7,hd8,hd9,hd10
perth--WA,152 St Georges Terrace Perth WA 6000,A$910/mo,"A$1,720/mo","A$2,460/mo","A$3,100/mo","A$3,650/mo","A$3,950/mo","A$4,600/mo","A$5,950/mo","A$5,950/mo","A$7,650/mo",A$550/mo,"A$1,100/mo","A$1,650/mo","A$2,200/mo","A$2,750/mo","A$3,300/mo","A$3,850/mo","A$4,400/mo","A$4,950/mo","A$5,500/mo",A$450/mo,A$900/mo,"A$1,350/mo","A$1,800/mo","A$2,250/mo","A$2,700/mo","A$3,150/mo","A$3,600/mo","A$4,050/mo","A$4,500/mo"
perth--WA,45 Francis Street Perth WA 6003,A$830/mo,"A$1,570/mo","A$2,500/mo","A$2,500/mo","A$3,500/mo","A$3,500/mo","A$3,900/mo","A$5,200/mo","A$5,400/mo","A$5,400/mo",A$500/mo,"A$1,000/mo","A$1,500/mo","A$2,000/mo","A$2,500/mo","A$3,000/mo","A$3,500/mo","A$4,000/mo","A$4,500/mo","A$5,000/mo",A$420/mo,A$840/mo,"A$1,260/mo","A$1,680/mo","A$2,100/mo","A$2,520/mo","A$2,940/mo","A$3,360/mo","A$3,780/mo","A$4,200/mo"
melbourne,120 Spencer Street Melbourne VIC 3000,"A$1,560/mo","A$1,560/mo","A$2,220/mo","A$2,800/mo","A$4,650/mo","A$4,650/mo","A$4,650/mo","A$4,700/mo","A$5,900/mo","A$5,900/mo",A$650/mo,"A$1,300/mo","A$1,950/mo","A$2,600/mo","A$3,250/mo","A$3,900/mo","A$4,550/mo","A$5,200/mo","A$5,850/mo","A$6,500/mo",A$450/mo,A$900/mo,"A$1,350/mo","A$1,800/mo","A$2,250/mo","A$2,700/mo","A$3,150/mo","A$3,600/mo","A$4,050/mo","A$4,500/mo"
melbourne,401 Collins Street Melbourne VIC 3000,A$810/mo,"A$1,540/mo","A$2,190/mo","A$2,900/mo","A$3,400/mo","A$3,550/mo","A$4,950/mo","A$4,950/mo","A$6,365/mo","A$7,450/mo",A$650/mo,"A$1,300/mo","A$1,950/mo","A$2,600/mo","A$3,250/mo","A$3,900/mo","A$4,550/mo","A$5,200/mo","A$5,850/mo","A$6,500/mo",A$450/mo,A$900/mo,"A$1,350/mo","A$1,800/mo","A$2,250/mo","A$2,700/mo","A$3,150/mo","A$3,600/mo","A$4,050/mo","A$4,500/mo"
melbourne,152 Elizabeth Street Melbourne VIC 3000,A$690/mo,"A$1,360/mo","A$2,080/mo","A$2,520/mo","A$3,500/mo","A$3,500/mo",Unavailable,Unavailable,"A$7,260/mo","A$7,260/mo",A$650/mo,"A$1,300/mo","A$1,950/mo","A$2,600/mo","A$3,250/mo","A$3,900/mo","A$4,550/mo",Unavailable,Unavailable,Unavailable,A$450/mo,A$900/mo,"A$1,350/mo","A$1,800/mo","A$2,250/mo","A$2,700/mo","A$3,150/mo","A$3,600/mo","A$4,050/mo","A$4,500/mo"
melbourne,222 Exhibition Street Melbourne VIC 3000,"A$1,850/mo",Unavailable,Unavailable,"A$4,300/mo","A$4,300/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,A$710/mo,"A$1,420/mo","A$2,130/mo","A$2,840/mo","A$3,550/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,A$490/mo,A$980/mo,"A$1,470/mo","A$1,960/mo","A$2,450/mo","A$2,940/mo","A$3,430/mo","A$3,920/mo","A$4,410/mo","A$4,900/mo"
melbourne,114 William Street Melbourne VIC 3000,"A$2,000/mo","A$2,000/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,A$800/mo,"A$1,600/mo","A$2,400/mo","A$3,200/mo","A$4,000/mo","A$4,800/mo","A$5,600/mo","A$6,400/mo","A$7,200/mo","A$8,000/mo",A$500/mo,"A$1,000/mo","A$1,500/mo","A$2,000/mo","A$2,500/mo","A$3,000/mo","A$3,500/mo","A$4,000/mo","A$4,500/mo","A$5,000/mo"
sydney--NSW,50 Miller Street Sydney NSW 2060,"A$1,800/mo","A$1,800/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,"A$8,950/mo",A$800/mo,"A$1,600/mo","A$2,400/mo","A$3,200/mo","A$4,000/mo","A$4,800/mo","A$5,600/mo","A$6,400/mo","A$7,200/mo","A$8,000/mo",A$500/mo,"A$1,000/mo","A$1,500/mo","A$2,000/mo","A$2,500/mo","A$3,000/mo","A$3,500/mo","A$4,000/mo","A$4,500/mo","A$5,000/mo"
sydney--NSW,100 Harris St Sydney NSW 2009,A$850/mo,"A$1,620/mo","A$2,340/mo","A$2,700/mo","A$3,850/mo","A$3,850/mo",Unavailable,Unavailable,Unavailable,Unavailable,A$550/mo,A$900/mo,"A$1,350/mo","A$1,800/mo","A$2,250/mo","A$2,700/mo","A$3,150/mo","A$3,600/mo","A$4,050/mo","A$4,500/mo",A$450/mo,A$900/mo,"A$1,350/mo","A$1,800/mo","A$2,250/mo","A$2,700/mo","A$3,150/mo","A$3,600/mo","A$4,050/mo","A$4,500/mo"
sydney--NSW,64 York Street Sydney NSW 2000,"A$1,300/mo","A$2,360/mo","A$4,350/mo","A$4,350/mo",Unavailable,Unavailable,Unavailable,Unavailable,n/a,n/a,Contactus,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,n/a,n/a,A$580/mo,"A$1,160/mo","A$1,740/mo","A$2,320/mo","A$2,900/mo","A$3,480/mo","A$4,060/mo","A$4,640/mo",n/a,n/a
sydney--NSW,1 Sussex Street Barangaroo Sydney NSW 2000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
sydney--NSW,161 Castlereagh Street Sydney NSW 2000,"A$2,380/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,n/a,n/a,A$950/mo,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,n/a,n/a,A$550/mo,"A$1,100/mo","A$1,650/mo","A$2,200/mo","A$2,750/mo","A$3,300/mo","A$3,850/mo","A$4,400/mo",n/a,n/a
sydney--NSW,383 George Street Sydney NSW 2000,"A$1,310/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,"A$1,000/mo","A$2,000/mo","A$3,000/mo","A$4,000/mo","A$5,000/mo","A$6,000/mo","A$7,000/mo","A$8,000/mo","A$9,000/mo","A$10,000/mo",A$580/mo,"A$1,160/mo","A$1,740/mo","A$2,320/mo","A$2,900/mo","A$3,480/mo","A$4,060/mo","A$4,640/mo","A$5,220/mo","A$5,800/mo"
sydney--NSW,333 George Street Level 13 Sydney NSW 2000,"A$1,350/mo","A$2,480/mo","A$4,250/mo","A$4,250/mo",n/a,n/a,n/a,n/a,n/a,n/a,"A$1,000/mo","A$2,000/mo","A$3,000/mo","A$4,000/mo",n/a,n/a,n/a,n/a,n/a,n/a,A$580/mo,Unavailable,Unavailable,Unavailable,n/a,n/a,n/a,n/a,n/a,n/a
sydney--NSW,5 Martin Place Sydney NSW 2000,"A$1,520/mo","A$2,480/mo",Unavailable,Unavailable,Unavailable,Unavailable,n/a,n/a,n/a,n/a,"A$1,000/mo","A$2,000/mo",Unavailable,Unavailable,Unavailable,Unavailable,n/a,n/a,n/a,n/a,A$580/mo,"A$1,160/mo","A$1,740/mo","A$2,320/mo","A$2,900/mo","A$3,480/mo",n/a,n/a,n/a,n/a
sydney--NSW,320 Pitt Street Sydney NSW 2000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
sydney--NSW,50 Carrington Street Sydney NSW 2000,"A$1,260/mo","A$3,780/mo","A$3,780/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,A$950/mo,"A$1,900/mo","A$2,850/mo","A$3,800/mo","A$4,750/mo","A$5,700/mo","A$6,650/mo","A$7,600/mo","A$8,550/mo","A$9,500/mo",A$580/mo,"A$1,160/mo","A$1,740/mo","A$2,320/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
brisbane--QLD,310 Edward Street Brisbane QLD 4000,A$900/mo,Unavailable,Unavailable,"A$3,900/mo","A$3,900/mo","A$3,900/mo","A$5,750/mo","A$5,750/mo",Unavailable,Unavailable,A$550/mo,"A$1,100/mo","A$1,650/mo","A$2,200/mo","A$2,750/mo","A$3,300/mo","A$3,850/mo",Unavailable,Unavailable,Unavailable,A$450/mo,A$900/mo,"A$1,350/mo","A$1,800/mo","A$2,250/mo","A$2,700/mo","A$3,150/mo","A$3,600/mo","A$4,050/mo","A$4,500/mo"
brisbane--QLD,260 Queen Street Brisbane QLD 4000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
brisbane--QLD,25 King Street Bowen Hills Brisbane QLD 4006,A$910/mo,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,A$550/mo,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,A$460/mo,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
