city,name,po1,po2,po3,po4,po5,po6,po7,po8,po9,po10,dd1,dd2,dd3,dd4,dd5,dd6,dd7,dd8,dd9,dd10,hd1,hd2,hd3,hd4,hd5,hd6,hd7,hd8,hd9,hd10
beijing,"7F Taohui Xintian, 219 Wangfujing Ave. Dongcheng District Beijing 100006"," 4,200/mo"," 7,800/mo"," 11,400/mo"," 12,700/mo"," 17,800/mo"," 17,800/mo"," 20,000/mo"," 22,000/mo"," 24,700/mo"," 30,200/mo"," 2,500/mo"," 5,000/mo"," 7,500/mo"," 10,000/mo"," 12,500/mo"," 15,000/mo"," 17,500/mo",Unavailable,Unavailable,Unavailable," 2,200/mo"," 4,400/mo"," 6,600/mo"," 8,800/mo"," 11,000/mo"," 13,200/mo"," 15,400/mo"," 17,600/mo"," 19,800/mo"," 22,000/mo"
beijing,"16 South Guangshun Street, Donghuang Building 17th Floor Chaoyang District Beijing 100015"," 4,100/mo",Unavailable,Unavailable," 16,100/mo"," 16,100/mo"," 16,100/mo"," 18,100/mo"," 22,900/mo"," 25,700/mo"," 32,100/mo"," 3,000/mo"," 6,000/mo"," 9,000/mo"," 12,000/mo"," 15,000/mo"," 18,000/mo"," 21,000/mo"," 24,000/mo",Unavailable,Unavailable," 2,000/mo"," 4,000/mo"," 6,000/mo"," 8,000/mo"," 10,000/mo"," 12,000/mo"," 14,000/mo",Unavailable,Unavailable,Unavailable
beijing,"7th FL, Tower AB Office Park, 10 Jintong West Road Chaoyang District Beijing 100020"," 4,400/mo"," 8,400/mo",Unavailable,Unavailable," 24,000/mo"," 24,000/mo"," 24,000/mo"," 26,200/mo"," 38,000/mo"," 38,000/mo"," 3,300/mo"," 6,600/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable," 2,900/mo"," 5,800/mo"," 8,700/mo"," 11,600/mo"," 14,500/mo"," 17,400/mo",Unavailable,Unavailable,Unavailable,Unavailable
beijing,"28 Guandongdian Street, East Gongxiao Building, 2/F-3/F Chaoyang Beijing 100001"," 3,800/mo"," 7,200/mo"," 10,300/mo"," 12,200/mo"," 26,600/mo"," 26,600/mo"," 26,600/mo"," 26,600/mo"," 36,600/mo"," 36,600/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable," 1,900/mo"," 3,800/mo"," 5,700/mo"," 7,600/mo"," 9,500/mo"," 11,400/mo"," 13,300/mo"," 15,200/mo",Unavailable,Unavailable
beijing,7 Xinxi Rd Haidian Beijing 100085," 9,500/mo",n/a,n/a,n/a,n/a,n/a," 32,800/mo"," 32,800/mo"," 32,800/mo"," 32,800/mo",Unavailable,n/a,n/a,n/a,n/a,n/a,Unavailable,Unavailable,Unavailable,Unavailable," 2,000/mo",n/a,n/a,n/a,n/a,n/a,Unavailable,Unavailable,Unavailable,Unavailable
beijing,13 Langfang Toutiao BLDG E16 Xicheng Beijing 100051," 5,100/mo"," 11,650/mo",Unavailable,Unavailable,Unavailable,Unavailable," 35,900/mo"," 35,900/mo"," 35,900/mo",Unavailable," 3,070/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable," 2,560/mo"," 5,120/mo"," 7,680/mo"," 10,240/mo"," 12,800/mo"," 15,360/mo"," 17,920/mo"," 20,480/mo"," 23,040/mo"," 25,600/mo"
beijing,6 Jiuxianqiao Lu Chaoyang District Beijing 100096," 7,700/mo"," 7,700/mo"," 13,200/mo"," 13,800/mo"," 19,100/mo"," 22,300/mo"," 29,700/mo"," 29,700/mo",Unavailable," 53,000/mo"," 2,400/mo"," 4,800/mo"," 7,200/mo"," 9,600/mo"," 12,000/mo"," 14,400/mo"," 16,800/mo"," 19,200/mo"," 21,600/mo"," 24,000/mo"," 2,000/mo"," 4,000/mo"," 6,000/mo"," 8,000/mo"," 10,000/mo"," 12,000/mo"," 14,000/mo"," 16,000/mo"," 18,000/mo"," 20,000/mo"
beijing,9 Dongzhimen Inner St Dongcheng Qu Beijing 100001," 5,400/mo"," 10,300/mo"," 16,300/mo"," 16,300/mo"," 22,800/mo"," 22,800/mo"," 32,000/mo"," 42,400/mo"," 42,400/mo"," 42,400/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
beijing,"North Taikoo Li, 11 Sanlitun Road, TWR N3 3/F - Chaoyang Beijing 100027"," 4,550/mo"," 7,770/mo",Unavailable,Unavailable,Unavailable,n/a,n/a,n/a,n/a,n/a,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,n/a,n/a,n/a,n/a,n/a," 2,930/mo"," 5,860/mo"," 8,790/mo"," 11,720/mo"," 14,650/mo",n/a,n/a,n/a,n/a,n/a
beijing,"6th FL, Tower A Sino Ocean International Center, 56 East 4th Ring Road Middle Chaoyang District Beijing 100025"," 3,500/mo"," 6,800/mo"," 9,100/mo"," 11,800/mo"," 16,000/mo"," 16,000/mo"," 20,700/mo"," 20,700/mo"," 20,700/mo"," 30,200/mo"," 2,600/mo"," 5,200/mo"," 7,800/mo"," 10,400/mo"," 13,000/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable," 2,300/mo"," 4,600/mo"," 6,900/mo"," 9,200/mo"," 11,500/mo"," 13,800/mo"," 16,100/mo"," 18,400/mo"," 20,700/mo"," 23,000/mo"
