city,name,po1,po2,po3,po4,po5,po6,po7,po8,po9,po10,dd1,dd2,dd3,dd4,dd5,dd6,dd7,dd8,dd9,dd10,hd1,hd2,hd3,hd4,hd5,hd6,hd7,hd8,hd9,hd10
wuhan,"189 Yunxia Lu Oceanwide Fortune Center, 7/F., JIANGHAN Wuhan 430072","¥4,400/mo","¥4,400/mo","¥6,300/mo","¥8,500/mo","¥9,900/mo","¥9,900/mo","¥12,200/mo","¥12,200/mo",Unavailable,"¥25,600/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,"¥1,200/mo","¥2,400/mo","¥3,600/mo","¥4,800/mo","¥6,000/mo","¥7,200/mo","¥8,400/mo","¥9,600/mo","¥10,800/mo","¥12,000/mo"
wuhan,"No.465 Guan Shan Da Dao, Hongshan Qu Wuhan Shi, Hubei Sheng Wuhan 430073","¥4,400/mo","¥4,400/mo","¥6,300/mo","¥8,500/mo","¥9,900/mo","¥9,900/mo","¥12,200/mo","¥12,200/mo",Unavailable,"¥25,600/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,"¥1,200/mo","¥2,400/mo","¥3,600/mo","¥4,800/mo","¥6,000/mo","¥7,200/mo","¥8,400/mo","¥9,600/mo","¥10,800/mo","¥12,000/mo"
shenzhen,"China Construction Steel Structure Building 3331 Zhongxin Rd, Nanshan Shenzhen 518054","¥3,220/mo","¥7,800/mo",Unavailable,Unavailable,"¥22,700/mo","¥22,700/mo","¥22,700/mo","¥25,700/mo","¥32,200/mo","¥32,200/mo","¥2,800/mo","¥5,600/mo","¥8,400/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,"¥2,100/mo","¥4,200/mo","¥6,300/mo","¥8,400/mo","¥10,500/mo","¥12,600/mo","¥14,700/mo","¥16,800/mo","¥18,900/mo","¥21,000/mo"
shenzhen,3031 Shennan Ave Futian CBD Shenzhen 518000,"¥3,220/mo","¥7,800/mo",Unavailable,Unavailable,"¥22,700/mo","¥22,700/mo","¥22,700/mo","¥25,700/mo","¥32,200/mo","¥32,200/mo","¥2,800/mo","¥5,600/mo","¥8,400/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,"¥2,100/mo","¥4,200/mo","¥6,300/mo","¥8,400/mo","¥10,500/mo","¥12,600/mo","¥14,700/mo","¥16,800/mo","¥18,900/mo","¥21,000/mo"
shenzhen,No. 1 Tairan 7th Road Futian District Shenzhen 518208,"¥3,220/mo","¥7,800/mo",Unavailable,Unavailable,"¥22,700/mo","¥22,700/mo","¥22,700/mo","¥25,700/mo","¥32,200/mo","¥32,200/mo","¥2,800/mo","¥5,600/mo","¥8,400/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,"¥2,100/mo","¥4,200/mo","¥6,300/mo","¥8,400/mo","¥10,500/mo","¥12,600/mo","¥14,700/mo","¥16,800/mo","¥18,900/mo","¥21,000/mo"
shenzhen,5001 Huanggang Road Shenzhen Shenzhen 518000,"¥3,220/mo","¥7,800/mo",Unavailable,Unavailable,"¥22,700/mo","¥22,700/mo","¥22,700/mo","¥25,700/mo","¥32,200/mo","¥32,200/mo","¥2,800/mo","¥5,600/mo","¥8,400/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,"¥2,100/mo","¥4,200/mo","¥6,300/mo","¥8,400/mo","¥10,500/mo","¥12,600/mo","¥14,700/mo","¥16,800/mo","¥18,900/mo","¥21,000/mo"
shenzhen,19 Kefa Road CR Land Tower D Shenzhen,"¥3,220/mo","¥7,800/mo",Unavailable,Unavailable,"¥22,700/mo","¥22,700/mo","¥22,700/mo","¥25,700/mo","¥32,200/mo","¥32,200/mo","¥2,800/mo","¥5,600/mo","¥8,400/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,"¥2,100/mo","¥4,200/mo","¥6,300/mo","¥8,400/mo","¥10,500/mo","¥12,600/mo","¥14,700/mo","¥16,800/mo","¥18,900/mo","¥21,000/mo"
shenzhen,6003 Yitian Road Futian District Shenzhen 518000,"¥3,220/mo","¥7,800/mo",Unavailable,Unavailable,"¥22,700/mo","¥22,700/mo","¥22,700/mo","¥25,700/mo","¥32,200/mo","¥32,200/mo","¥2,800/mo","¥5,600/mo","¥8,400/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,"¥2,100/mo","¥4,200/mo","¥6,300/mo","¥8,400/mo","¥10,500/mo","¥12,600/mo","¥14,700/mo","¥16,800/mo","¥18,900/mo","¥21,000/mo"
shenzhen,168 Fuhua 3rd Road Futian CBD Shenzhen 518033,"¥3,220/mo","¥7,800/mo",Unavailable,Unavailable,"¥22,700/mo","¥22,700/mo","¥22,700/mo","¥25,700/mo","¥32,200/mo","¥32,200/mo","¥2,800/mo","¥5,600/mo","¥8,400/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,"¥2,100/mo","¥4,200/mo","¥6,300/mo","¥8,400/mo","¥10,500/mo","¥12,600/mo","¥14,700/mo","¥16,800/mo","¥18,900/mo","¥21,000/mo"
shenzhen,"9th Floor, Tower B, TCL Building 6 Gao Xin Nan Yi Street, Nanshan Shenzhen 518057","¥3,220/mo","¥7,800/mo",Unavailable,Unavailable,"¥22,700/mo","¥22,700/mo","¥22,700/mo","¥25,700/mo","¥32,200/mo","¥32,200/mo","¥2,800/mo","¥5,600/mo","¥8,400/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,"¥2,100/mo","¥4,200/mo","¥6,300/mo","¥8,400/mo","¥10,500/mo","¥12,600/mo","¥14,700/mo","¥16,800/mo","¥18,900/mo","¥21,000/mo"
