city,name,po1,po2,po3,po4,po5,po6,po7,po8,po9,po10,dd1,dd2,dd3,dd4,dd5,dd6,dd7,dd8,dd9,dd10,hd1,hd2,hd3,hd4,hd5,hd6,hd7,hd8,hd9,hd10
shenzhen,"China Construction Steel Structure Building 3331 Zhongxin Rd, Nanshan Shenzhen 518054","¥3,220/mo","¥7,800/mo",Unavailable,Unavailable,"¥22,700/mo","¥22,700/mo","¥22,700/mo","¥25,700/mo","¥32,200/mo","¥32,200/mo","¥2,800/mo","¥5,600/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,"¥2,100/mo","¥4,200/mo","¥6,300/mo","¥8,400/mo","¥10,500/mo","¥12,600/mo","¥14,700/mo","¥16,800/mo","¥18,900/mo","¥21,000/mo"
shenzhen,3031 Shennan Ave Futian CBD Shenzhen 518000,"¥10,200/mo","¥13,500/mo","¥13,500/mo","¥13,500/mo","¥19,100/mo","¥19,100/mo","¥25,400/mo","¥27,600/mo","¥35,000/mo","¥35,000/mo","¥3,000/mo","¥6,000/mo","¥9,000/mo","¥12,000/mo","¥15,000/mo","¥18,000/mo",Unavailable,Unavailable,Unavailable,Unavailable,"¥2,200/mo","¥4,400/mo","¥6,600/mo","¥8,800/mo","¥11,000/mo","¥13,200/mo","¥15,400/mo","¥17,600/mo","¥19,800/mo","¥22,000/mo"
shenzhen,5001 Huanggang Road Shenzhen Shenzhen 518000,"¥3,900/mo","¥7,400/mo","¥10,600/mo","¥11,700/mo","¥16,500/mo","¥16,500/mo","¥22,300/mo","¥24,500/mo","¥27,600/mo","¥30,700/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,"¥2,000/mo","¥4,000/mo","¥6,000/mo","¥8,000/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
shenzhen,19 Kefa Road CR Land Tower D Shenzhen,"¥4,200/mo","¥8,000/mo","¥11,400/mo","¥12,700/mo","¥17,700/mo","¥17,700/mo","¥22,000/mo","¥22,000/mo","¥29,600/mo","¥32,900/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,"¥2,100/mo","¥4,200/mo","¥6,300/mo","¥8,400/mo","¥10,500/mo","¥12,600/mo","¥14,700/mo","¥16,800/mo","¥18,900/mo","¥21,000/mo"
shenzhen,6003 Yitian Road Futian District Shenzhen 518000,"¥4,900/mo","¥9,100/mo","¥13,000/mo","¥15,900/mo","¥20,100/mo","¥24,400/mo","¥30,700/mo","¥30,700/mo","¥33,900/mo","¥33,900/mo","¥3,200/mo","¥6,400/mo","¥9,600/mo","¥12,800/mo","¥16,000/mo","¥19,200/mo","¥22,400/mo","¥25,600/mo","¥28,800/mo","¥32,000/mo","¥2,700/mo","¥5,400/mo","¥8,100/mo","¥10,800/mo","¥13,500/mo","¥16,200/mo","¥18,900/mo","¥21,600/mo","¥24,300/mo","¥27,000/mo"
shenzhen,168 Fuhua 3rd Road Futian CBD Shenzhen 518033,"¥4,600/mo","¥8,600/mo","¥12,700/mo","¥17,000/mo","¥23,300/mo","¥23,300/mo","¥32,900/mo","¥42,400/mo","¥42,400/mo","¥50,900/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
shenzhen,"9th Floor, Tower B, TCL Building 6 Gao Xin Nan Yi Street, Nanshan Shenzhen 518057","¥3,300/mo","¥9,200/mo","¥9,200/mo","¥12,000/mo","¥14,500/mo","¥18,000/mo","¥28,800/mo","¥28,400/mo",n/a,n/a,"¥2,000/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,n/a,n/a,"¥1,700/mo","¥3,400/mo","¥5,100/mo","¥6,800/mo",Unavailable,Unavailable,Unavailable,Unavailable,n/a,n/a
shenzhen,"Building 7, 1/F, 9 Gao Xin Nan Jiu Dao, Nanshang District Shenzhen 518057","¥6,300/mo",Unavailable,Unavailable,Unavailable,"¥15,900/mo","¥15,900/mo","¥21,200/mo","¥21,200/mo","¥22,300/mo","¥29,700/mo","¥2,300/mo","¥4,600/mo","¥6,900/mo","¥9,200/mo","¥11,500/mo","¥13,800/mo","¥16,100/mo","¥18,400/mo","¥20,700/mo","¥23,000/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
suzhou,"5F, Suzhou Center Square, Building 88 (Tower B) Suzhou 215000","¥5,600/mo","¥5,600/mo","¥9,600/mo","¥10,600/mo","¥13,800/mo","¥13,800/mo","¥20,100/mo","¥20,100/mo","¥25,400/mo","¥25,400/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,"¥1,500/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
hong-kong,"46/F, Lee Garden One 33 Hysan Avenue, Causeway Bay Hong Kong","HK$20,500/mo","¥20,500/mo","¥29,200/mo","¥37,000/mo","¥55,000/mo","¥55,000/mo","¥90,000/mo","¥90,000/mo",n/a,n/a,"HK$7,200/mo","¥14,400/mo","¥21,600/mo","¥28,800/mo","¥36,000/mo","¥43,200/mo",Unavailable,Unavailable,n/a,n/a,"HK$4,200/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,n/a,n/a
