city,name,po1,po2,po3,po4,po5,po6,po7,po8,po9,po10,dd1,dd2,dd3,dd4,dd5,dd6,dd7,dd8,dd9,dd10,hd1,hd2,hd3,hd4,hd5,hd6,hd7,hd8,hd9,hd10
singapore,109 North Bridge Road Singapore 179097,"S$1,260/mo","S$2,320/mo","S$3,400/mo","S$3,650/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,S$760/mo,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,S$630/mo,"S$1,260/mo","S$1,890/mo","S$2,520/mo","S$3,150/mo","S$3,780/mo","S$4,410/mo","S$5,040/mo","S$5,670/mo","S$6,300/mo"
singapore,380 Jalan Besar Singapore 209000,"S$1,800/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,"S$7,350/mo",Unavailable,"S$7,350/mo","S$7,350/mo",Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,S$470/mo,S$940/mo,"S$1,410/mo","S$1,880/mo","S$2,350/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
singapore,36 Robinson Road Singapore 068877,"S$1,160/mo","S$2,180/mo","S$3,700/mo","S$3,700/mo","S$5,200/mo","S$5,200/mo","S$8,100/mo","S$8,100/mo",Unavailable,Unavailable,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,S$580/mo,"S$1,160/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
singapore,8 Cross Street Singapore 048424,"S$1,220/mo","S$2,350/mo","S$3,350/mo","S$3,720/mo","S$5,410/mo","S$6,270/mo","S$7,750/mo","S$7,750/mo",n/a,"S$13,780/mo",S$730/mo,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,n/a,Unavailable,S$610/mo,"S$1,220/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,n/a,Unavailable
singapore,5 Temasek Boulevard Singapore 038985,"S$1,130/mo",Unavailable,Unavailable,n/a,n/a,n/a,n/a,n/a,n/a,n/a,S$710/mo,"S$1,420/mo","S$2,130/mo",n/a,n/a,n/a,n/a,n/a,n/a,n/a,S$590/mo,Unavailable,Unavailable,n/a,n/a,n/a,n/a,n/a,n/a,n/a
singapore,60 Anson Road Singapore 079914,"S$1,290/mo","S$2,430/mo","S$3,850/mo","S$3,850/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,S$530/mo,"S$1,060/mo","S$1,590/mo","S$2,120/mo","S$2,650/mo","S$3,180/mo","S$3,710/mo","S$4,240/mo","S$4,770/mo","S$5,300/mo"
singapore,22 Cross Street Singapore 048421,"S$1,250/mo","S$3,600/mo","S$3,600/mo","S$3,600/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,S$660/mo,"S$1,320/mo","S$1,980/mo","S$2,640/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,S$550/mo,"S$1,040/mo","S$1,560/mo","S$2,080/mo","S$2,600/mo","S$3,120/mo","S$3,640/mo","S$4,160/mo","S$4,680/mo","S$5,200/mo"
singapore,71 Robinson Road Singapore 068895,"S$1,220/mo","S$2,310/mo","S$3,520/mo","S$3,910/mo",Unavailable,Unavailable,n/a,n/a,"S$11,160/mo","S$11,160/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,n/a,n/a,Unavailable,Unavailable,S$590/mo,"S$1,180/mo","S$1,770/mo","S$2,360/mo","S$2,950/mo","S$3,540/mo",n/a,n/a,Unavailable,Unavailable
singapore,"15 Beach Road, 2nd Floor Singapore 189677","S$1,100/mo","S$2,140/mo","S$3,060/mo","S$4,780/mo","S$4,780/mo","S$4,780/mo",n/a,n/a,n/a,n/a,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,n/a,n/a,n/a,n/a,S$550/mo,"S$1,100/mo","S$1,650/mo","S$2,200/mo","S$2,750/mo",Unavailable,n/a,n/a,n/a,n/a
singapore,83 Clemenceau Avenue 2nd Floor Singapore 239917,"S$1,990/mo",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,S$630/mo,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,S$530/mo,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
