city,name,po1,po2,po3,po4,po5,po6,po7,po8,po9,po10,dd1,dd2,dd3,dd4,dd5,dd6,dd7,dd8,dd9,dd10,hd1,hd2,hd3,hd4,hd5,hd6,hd7,hd8,hd9,hd10
tokyo,"2-3-2 Kojimachi, Chiyoda-ku Tokyo 102-0083",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Contactus,Contactus,"¥273,000/mo","¥364,000/mo","¥455,000/mo","¥546,000/mo","¥637,000/mo","¥728,000/mo","¥819,000/mo","¥740,000/mo"
tokyo,"Ginza Six 13F, 6-10-1 Ginza Chuo-ku Tokyo 104-0061",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Contactus,Contactus,"¥273,000/mo","¥364,000/mo","¥455,000/mo","¥546,000/mo","¥637,000/mo","¥728,000/mo","¥819,000/mo","¥740,000/mo"
tokyo,"Ark Hills South Tower 16F, 1-4-5 Roppongi Minato-ku Tokyo 106-0032",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Contactus,Contactus,"¥273,000/mo","¥364,000/mo","¥455,000/mo","¥546,000/mo","¥637,000/mo","¥728,000/mo","¥819,000/mo","¥740,000/mo"
tokyo,2-13-12 Nihonbashi Chuo-ku Tokyo 103-0027,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Contactus,Contactus,"¥273,000/mo","¥364,000/mo","¥455,000/mo","¥546,000/mo","¥637,000/mo","¥728,000/mo","¥819,000/mo","¥740,000/mo"
tokyo,2-11-15 Kanda Jimbocho Chiyoda-ku Tokyo,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Contactus,Contactus,"¥273,000/mo","¥364,000/mo","¥455,000/mo","¥546,000/mo","¥637,000/mo","¥728,000/mo","¥819,000/mo","¥740,000/mo"
tokyo,6-12-18 Jingumae Shibuya-ku Tokyo 150-0001,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Contactus,Contactus,"¥273,000/mo","¥364,000/mo","¥455,000/mo","¥546,000/mo","¥637,000/mo","¥728,000/mo","¥819,000/mo","¥740,000/mo"
tokyo,"1-24-3, Minami Aoyama Minato-ku Tokyo 107-0062",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Contactus,Contactus,"¥273,000/mo","¥364,000/mo","¥455,000/mo","¥546,000/mo","¥637,000/mo","¥728,000/mo","¥819,000/mo","¥740,000/mo"
tokyo,"1 Chome 11-1 Nishiikebukuro, Toshima-ku Tokyo 171-0021",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Contactus,Contactus,"¥273,000/mo","¥364,000/mo","¥455,000/mo","¥546,000/mo","¥637,000/mo","¥728,000/mo","¥819,000/mo","¥740,000/mo"
tokyo,4-26-6 Toranomon Minatoku Tokyo 105-0001,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Contactus,Contactus,"¥273,000/mo","¥364,000/mo","¥455,000/mo","¥546,000/mo","¥637,000/mo","¥728,000/mo","¥819,000/mo","¥740,000/mo"
tokyo,21F 4 Chome 3-1 Toranomon Minato-ku Tokyo 105-6021,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Contactus,Contactus,"¥273,000/mo","¥364,000/mo","¥455,000/mo","¥546,000/mo","¥637,000/mo","¥728,000/mo","¥819,000/mo","¥740,000/mo"
