date,title,content
"August 30, 2019 |",On the job | Suhani Patel," Editor’s note: This summer, 26 students in the UW Department of Environmental & Occupational Health Sciences (DEOHS) are getting hands-on experience as interns with government agencies and private companies. In our occasional “On the Job” series, we feature some of their stories. Suhani Patel, BS, Environmental HealthIntern with: Portage County Health Department, OhioI’m spending my summer as an intern with the Portage County Health Department in Ravenna, Ohio, through the National Environmental Public Health Internship Program.Part of my job involves doing water quality testing on the 70 pools in the county, running tests, collecting data, interpreting the results and educating pool managers.I was able to detect four pools that were out of compliance with state regulations. In one instance, the disinfection unit for the pool shut off. Within a few days, the pool turned green! Luckily, we were able to detect the low chlorine levels early on and take appropriate actions.I’ve also been involved with the health department's mosquito surveillance program. I trapped mosquitoes throughout the county, collected data on West Nile virus and worked on methods to control mosquito populations.Recently, Portage County held a giant fair, and the health department set up an educational booth where I was able to talk to community members about the importance of protecting against mosquito bites.I’ve been inspired by the essential work that happens in local health departments and hope to one day aid in this mission of maintaining a healthy environment for the community. "
"August 27, 2019 |",On the job | Zakary Reimann," Editor’s note: This summer, 26 students in the UW Department of Environmental & Occupational Health Sciences (DEOHS) are getting hands-on experience as interns with government agencies and private companies. In our occasional “On the Job” series, we feature some of their stories. Zakary Reimann, MS, Applied Occupational HygieneIntern with: SAIF Corporation An egg farm. A foundry. A blade manufacturer. A blasting facility.These are among the worksites that I have visited this summer through my internship with SAIF Corporation, Oregon’s not-for-profit workers’ compensation insurance company.I am part of a team of six industrial hygienists based in Salem, OR, this summer. My main job is to conduct sampling for particulates, noise, mold and other chemicals.I am also working on a project to incorporate video exposure monitoring into SAIF Corp. site visit inspections.Workers are outfitted with a GoPro camera while we simultaneously monitor particulate concentrations. This new tool serves as an effective way to visually demonstrate when exposures occur and what workers were doing at the time of exposure. I am confident this tool will be useful for employers and policyholders to identify and mitigate employee exposures.My team has been very supportive, giving me opportunities to collect samples on my own, interpret results, write reports and communicate with policyholders. I work with great colleagues here! "
"August 27, 2019 |",On the job | Jennifer Kim," Editor’s note: This summer, 26 students in the UW Department of Environmental & Occupational Health Sciences (DEOHS) are getting hands-on experience as interns with government agencies and private companies. In our occasional “On the Job” series, we feature some of their stories. Jennifer Kim, BS, Environmental HealthIntern with: Washington State Department of Labor & Industries, Division of Occupational Safety and Health (DOSH) DOSH enforces workplace safety and health rules through training, education and inspection of Washington worksites for unsafe working conditions. As a summer intern with DOSH, most of my job involves accompanying compliance safety and health officers (CSHOs) on workplace inspections.I assist CSHOs with employee interviews and conduct sampling at a variety of workplaces. So far, I have visited a grocery store, a dental office and construction sites as part of my internship, and I have a new appreciation for how much work is required of employers to keep their workers safe.Back in the office, I write citations, compile information on businesses prior to inspections and calibrate sampling equipment.Working here has taught me how much I enjoy day-to-day variety in my job and the flexibility to set my own schedule, which is common for CSHOs.Early in my internship, I was afraid I would not be helpful to my office, but I quickly learned that CSHOs aren’t afraid to ask questions or turn to their co-workers for advice and ideas. This made me feel comfortable asking questions. Most of the time, we go search for the answer together!"
"August 26, 2019 |",A Labor Day reflection,"Boys as young as 8 years old crushed by mining equipment.Teen girls burned to death in a sweatshop fire.Loggers left penniless and jobless following terrible workplace injuries.This summer, the Washington State Department of Labor & Industries (L&I) is highlighting the brutal working conditions at the turn of the 20th century that led to today's laws governing workplace safety in the US.A series of posts on the L&I blog tells the story of the laborers who worked long days in filthy and dangerous jobs at a time when safety was, at best, an afterthought.It’s worthwhile reading and a timely reminder as we head into Labor Day weekend of the workplace tragedies, public outrage and early labor organizing efforts that paved the way for today’s worker health and safety laws."
"August 26, 2019 |",On the job | Mariah Dittmore," Editor’s note: This summer, 26 students in the UW Department of Environmental & Occupational Health Sciences (DEOHS) are getting hands-on experience as interns with government agencies and private companies. In our occasional “On the Job” series, we feature some of their stories. Mariah Dittmore, BS, Environmental HealthIntern with: Ramboll, an engineering and design companyThis summer, I am working as a consulting intern with Ramboll, a multinational engineering, design and consultancy company.Here in the Seattle office, I assist the health sciences team in conducting environmental risk and exposure assessments for Superfund sites—contaminated areas designated for cleanup by the US Environmental Protection Agency. I have completed literature reviews and background toxicology summaries as well as data analysis and cleaning.As an intern with Ramboll since March, I have applied many of the skills I learned from my DEOHS classes on the job.My chemical and microbiological sampling and analysis courses prepared me for most of the work I do at Ramboll, such as conducting background research, carrying out experiments and writing reports.The work happens at a faster pace at Ramboll compared to the classroom. There are always several projects going on at once, giving me experience in a wide range of environmental health issues.The variety in my day-to-day experience is what I enjoy most about this internship. Working here has definitely piqued my interest in environmental consulting as a career path."
"August 21, 2019 |",DEOHS at ISEE conference 2019,"More than two dozen faculty, staff and students from the UW Department of Environmental & Occupational Health Sciences (DEOHS) and our research partners will share their research at the International Society for Environmental Epidemiology conference next week.The 31st annual conference takes place in Utrecht, the Netherlands, from August 25-28.DEOHS presenters include:"
"August 19, 2019 |",On the job | Hannah Echt," Editor’s note: This summer, 26 students in the UW Department of Environmental & Occupational Health Sciences (DEOHS) are getting hands-on experience as interns with government agencies and private companies. In our occasional “On the Job” series, we feature some of their stories. Hannah Echt, MS, Occupational HealthIntern with: National Institute for Occupational Safety and Health through the Junior Commissioned Officer Student Training and Extern ProgramThis summer, I am working for the National Institute for Occupational Safety and Health (NIOSH) conducting workplace health hazard evaluations.My work takes me to a wide range of worksites, including a cannabis harvesting and production facility in Massachusetts, a railcar repair facility in New York and a construction site in Ohio.As a junior commissioned officer with the US Public Health Service Commissioned Corps, I work with both commissioned officers and civilians at the NIOSH Hazard Evaluation and Technical Assistance Branch in Cincinnati, Ohio.This internship has been a wonderful opportunity for me to learn more about industrial hygiene from senior people in my field, gain practical experience through field work and engage with diverse employers and employees during site visits. I have developed technical and professional skills in industrial hygiene and gained experience in environmental sampling methods.I have learned so much from my colleagues, and I am grateful for their mentorship and the professional connections I am building at NIOSH."
"August 19, 2019 |",On the job | Jenny Pak," Editor’s note: This summer, 26 students in the UW Department of Environmental & Occupational Health Sciences (DEOHS) are getting hands-on experience as interns with government agencies and private companies. In our occasional “On the Job” series, we feature some of their stories. Jenny Pak, BS, Environmental HealthIntern with: Indian Health Service, Gallup Service Unit, through the Junior Commissioned Officer Student Training and Extern ProgramThis summer, I am working with the Indian Health Service in Gallup, New Mexico, one of five federal health units serving people in the Navajo Nation, one of the largest Indian reservations in the US.I work alongside Indian Health Service employees as well as commissioned corps officers in the US Public Health Service and employees of the Navajo Nation tribal government to provide services to the Navajo people.Surveys are an essential part of the work we do. As part of my internship, I have assisted in surveys of senior citizen centers, group homes, water systems and food service facilities.I have also provided rabies vaccinations, and based on hospital referrals, I have participated in several individual home inspections to check for bed bugs, lead and rodents.I recently had the opportunity to inspect two hospital ventilation systems. I learned a lot about the importance of air pressure, especially for an isolation room, and how to measure the air pressure from the supply and return vents and calculate the exchange rate.Each day here is different and presents a new and interesting challenge!"
"August 15, 2019 | Jolayne Houtz",Tribes prepare for climate change,"Researchers from the University of Washington are teaming up with the Swinomish Tribe to evaluate strategies the Swinomish are using to adapt to climate change.The results could inform how tribes across the US incorporate the latest climate science into their ongoing efforts to build healthy and more resilient communities in the face of a warming planet.Like many tribes, the Swinomish Indian Tribal Community is already a leader in responding to climate change, said Dr. Jeremy Hess, project team member and associate professor in the UW Department of Environmental & Occupational Health Sciences (DEOHS).“This is an important next step in their work—to assess their efforts, learn what’s working and share that knowledge with others,” said Hess, who is also associate professor of emergency medicine and global health at the UW.“Overwhelming as the challenges before us may at times seem, our community and culture have also proven their ability to endure and survive many times before,” said Chairman Brian Cladoosby of the Swinomish Indian Tribal Community.“It is essential that our place-based knowledge is included in any discussion of climate change.”The Swinomish Reservation, located on Fidalgo Island in Skagit County, sits on mostly low-lying land ringed by water. The Swinomish declared climate change an imminent threat in 2007 and developed an action plan to respond.The research team will evaluate the tribe’s efforts to incorporate “Indigenous Health Indicators” into a framework originally developed by the US Centers for Disease Control and Prevention (CDC) to help health departments with climate change adaptation.The two-year project is supported by a $350,000 grant from the Robert Wood Johnson Foundation.“This work is important for many reasons, including the fact that this is one of the first significant efforts on the part of a large US foundation to support research on climate change adaptation,” Hess said.Pacific Northwest tribes are expected to face some of the most acute impacts from climate change, Hess said. Many are already preparing for the future.For the nearly 1,000 people enrolled as members of the Swinomish Tribe, harvesting, preparing and using traditional foods and resources are part of the cultural fabric.The Swinomish concept of a healthy community is connected to generations of tribal knowledge and practices and shaped by relationships among humans, nature, natural resources and the spiritual realm.In 2016, Hess began advising the Swinomish Tribe on its efforts to indigenize the CDC framework, known as BRACE, or Building Resilience Against Climate Effects.That work involved incorporating localized data, feedback from tribal members and community-held values about Swinomish health definitions and priorities into the BRACE framework.The results led the Tribe to identify a number of adaptation strategies.That included adding climate-change education to the Tribe’s educational curriculum on traditional harvest practices and increasing aquaculture capacity to help protect wild clam beds from rising sea levels.The new evaluation project is an extension of that work and will contribute to the evidence base on what works to improve community health, advance health equity and address climate change in a tribal context, Hess said.The Swinomish created training videos about their experience indigenizing the BRACE framework and their community-based process for assessing the health impacts from an indigenous point of view.The team will evaluate the training videos as part of the project, and that could lead to better ways to share the Swinomish experience with other tribes “in the larger effort to support each other in addressing climate change impacts,” said Jamie Donatuto, Swinomish environmental health analyst and project lead.Other research partners include DEOHS Lecturer Nicole Errett; Swinomish Elder Larry Campbell; and Marnie Boardman of the Washington State Department of Health. The work will be guided by a technical advisory board of experts from other tribal communities."
"August 13, 2019 | Jolayne Houtz",Air pollution and emphysema,"Long-term exposure to air pollution—especially ozone pollution—accelerates the progression of emphysema of the lung, according to a newly published study led by the University of Washington, Columbia University and the University at Buffalo. Researchers from the UW Department of Environmental & Occupational Health Sciences (DEOHS) and partner institutions used data from an extensive, 18-year study called the Multi-Ethnic Study of Atherosclerosis. The study involved more than 7,000 people and a detailed examination of the air pollution they encountered in six US metropolitan areas. Nearly half were nonsmokers.The study was published today in JAMA.""We were surprised to see how strong air pollution's impact was on the progression of emphysema on lung scans, in the same league as the effects of cigarette smoking,"" said Dr. Joel Kaufman, DEOHS professor and the study's senior co-author.""We really need to understand what's causing chronic lung disease, and it appears that air pollution exposures that are common and hard to avoid might be a major contributor,"" he said.The association between air pollution and emphysema progression was strongest with long-term exposure to ozone. While environmental regulations have helped reduce the levels of some kinds of air pollution over time, ozone levels have not declined, Kaufman said.Without new control strategies, “these levels are not expected to decline as climate change advances,” the study’s authors said. “More effective control strategies to reduce ozone concentrations may be needed to protect lung health.”To learn more about the research, READ THE NEWS RELEASE"
